TableName,TableType,Tier,Plan,Retention,Status,LastIngestion,TotalGB,EstCostUSD
DSMDataClassificationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACREntraAuthenticationAuditLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DSMDataLabelingLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MPCIngestionLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ATCMicrosoftPeeringMetadata,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
OGOAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AGCFirewallLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBDataPlaneRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBPartitionKeyStatistics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLPgBouncer,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLServerLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLAutovacuumStats,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLQueryStoreWaits,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLQueryStoreRuntime,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLDbTransactionsStats,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AGCAccessLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
HuntingBookmarks,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppBrowserTimings,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSArchiveLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSAutoscaleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSKafkaCoordinatorLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSKafkaUserErrorLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSCustomerManagedKeyUserLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AHDSMedTechDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AHDSDicomDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AHDSDicomAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZKVAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZKVPolicyEvaluationDetailsLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSVnetConnectionEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MNFDeviceUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MNFSystemSessionHistoryUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
